srcIP,destIP,destPt,protocol,startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
10.0.2.107,103.28.250.103,80,tcp,383.176317,4,84,30.33333333,4,1.541666667,1.94232975,0.969786438,28810.17928,20366.80264,710.75,279.1875,4.5,1.083333333,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,149.126.77.103,80,tcp,383.526919,3,920.6666667,53.44444444,5,0,0.101840333,0.047002389,43217.00367,6.284693,340.3333333,64.55555556,5,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,12.158.190.246,80,tcp,383.578648,2,1030,0,5,0,2.03914,0.864505,43223.28836,0,833,8,5.5,0.25,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
10.0.2.107,203.189.105.136,80,tcp,383.469142,6,10299.16667,7360.983333,13,5.963888889,3.700019667,2.186853222,17288.14499,21171.18371,507.6666667,226.4111111,8.833333333,2.919444444,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0
10.0.2.107,5.56.61.199,80,tcp,384.420397,2,10390,0,14,0,0.2078995,5.18E-05,43215.68646,0,815,9,8,0,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
10.0.2.107,184.94.149.35,80,tcp,384.820423,6,0,0,0,0,1.512806667,1.121893597,17288.54071,21162.99928,0,0,1.5,0.372222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,69.163.135.152,80,tcp,384.199537,10,632.2,141.6427778,5.2,0.435357143,6.7587555,4.1426528,9604.246837,17964.56223,619.2,375.0418254,5.9,0.633888889,10,0,10,7,0,0,0,3,10,0,10,0,10,10,10,0,0,0,0,0
10.0.2.107,173.204.163.136,80,tcp,384.177852,3,14026,0,13,0,2.365376667,0.500698722,43214.76768,0.043774,827.6666667,2.222222222,9,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,10.0.0.1,80,tcp,386.555756,4,0,0,0,0,1.51692675,1.007229188,28814.51422,40737.09974,0,0,1.5,0.333333333,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,204.213.246.4,80,tcp,386.443362,6,188,0,5,0,2.079019167,0.838321294,17287.62771,21162.75394,805.6666667,22.92222222,5.5,0.372222222,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0
10.0.2.107,212.84.79.16,80,tcp,386.659659,3,13629,0,13,0,0.137012,0.063602167,43214.21583,1.4931735,782,14,9,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,216.177.135.4,80,tcp,386.443536,3,436,0,5,0,1.902788667,0.695297611,43213.63543,1.0906585,816,2,5.333333333,0.222222222,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
fe80::d08d:ffd6:56a5:c2db,ff02::1:3,5355,udp,382.206305,1,0,0,0,0,0.099,0,0,0,44,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,224.0.0.252,5355,udp,382.206458,1,0,0,0,0,0.099038,0,0,0,44,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,70.86.7.138,80,tcp,386.581878,3,469,0,5,0,0.707137667,0.000442611,43218.36644,1.890347,803,17.33333333,5,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,46.105.107.214,80,tcp,383.166259,3,21581,0,20,0,6.455928667,1.461046389,43215.27324,0.549344,830.3333333,2.888888889,11.33333333,0.277777778,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,202.162.33.14,80,tcp,386.555463,3,1523,0,6.333333333,0.277777778,1.203606667,0.252160389,43214.99759,2.5400905,752,8.666666667,5.666666667,0.222222222,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,67.227.252.139,80,tcp,388.699916,2,0,0,0,0,1.499437,0.7497185,8.997183,0,0,0,1.5,0.25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,217.145.99.26,80,tcp,388.740259,3,0,0,4,0,0.116607333,0.057611278,43213.60978,9.552158,746,3.333333333,5,0,3,0,3,3,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0
10.0.2.107,217.195.114.124,80,tcp,388.700579,3,312,0,5,0,0.101876667,0.059439722,43213.46483,1.1890495,815.6666667,7.555555556,5,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,141.101.116.121,80,tcp,388.714369,2,3427,36.5,5.5,0.25,0.4598445,0.10964125,86429.04136,0,802.5,15.25,6,0,2,0,2,0,0,0,0,2,2,0,2,0,2,2,2,0,0,0,0,0
10.0.2.107,192.168.0.1,80,tcp,389.960976,6,0,0,0,0,1.499893833,1.116550067,17288.07748,21162.46388,0,0,1.5,0.372222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,89.161.181.123,80,tcp,389.961557,6,1527,1350.433333,4,1.441666667,11.18308183,10.89151973,17284.76543,21165.63759,332.6666667,254.9222222,4.166666667,1.602777778,4,0,4,2,0,0,0,2,4,0,4,0,4,4,4,0,0,2,0,0
10.0.2.107,193.23.139.22,25,tcp,393.669635,37,55.64864865,9.06556653,4.756756757,0.750700806,5.430660216,0.453981082,2734.62191,3356.38416,968.6486486,149.5364483,4.972972973,0.515553156,35,0,35,35,0,0,0,0,37,0,35,0,35,35,35,0,0,0,0,0
10.0.2.107,85.25.176.145,25,tcp,393.669794,36,55.58333333,8.339631375,4.75,0.733333362,5.38661925,0.65162962,3024.099184,3579.517962,967.1111111,152.152701,4.888888889,0.530472121,34,0,34,34,0,0,0,0,36,0,34,0,34,34,34,0,0,0,0,0
10.0.2.107,213.27.249.35,25,tcp,393.669928,34,54.58823529,8.932716438,4.705882353,0.770061762,5.368402529,0.728158806,3045.638178,2948.189975,963.7647059,157.7086488,4.911764706,0.618202912,32,0,32,32,0,0,0,0,34,0,32,0,32,32,32,0,0,0,0,0
10.0.2.107,87.120.6.182,25,tcp,393.670068,35,56.34285714,9.615264106,4.8,0.806571227,5.6073668,0.822536303,2956.54624,3743.026335,965.4857143,154.8745242,5.142857143,0.705593265,33,0,33,33,0,0,0,1,35,0,33,0,33,33,33,0,0,1,0,0
10.0.2.107,162.144.39.61,25,tcp,393.670283,36,55.58333333,9.354494407,4.722222222,0.74293311,5.497428667,0.787475175,2941.260125,3229.120131,967.1111111,152.152701,4.972222222,0.631299555,34,0,34,34,0,0,0,0,36,0,34,0,34,34,34,0,0,0,0,0
10.0.2.107,173.236.178.80,25,tcp,393.681768,22,54.04545455,12.29073001,4.636363636,1.060263999,5.208427636,0.867304772,5071.279151,5999.386255,930.9090909,203.9447971,4.818181818,0.745267651,20,0,20,20,0,0,0,1,22,0,20,0,20,20,20,0,0,1,0,0
10.0.2.107,198.178.126.90,25,tcp,393.681918,29,54,9.84661519,4.655172414,0.848846137,5.347224069,0.729327862,3795.730693,3486.411309,953.3793103,173.8436889,4.827586207,0.615187859,27,0,27,27,0,0,0,0,29,0,27,0,27,27,27,0,0,0,0,0
10.0.2.107,210.172.144.247,25,tcp,393.682061,29,52,13.0842085,4.620689655,0.861563263,5.410427138,0.869703969,3563.507097,5461.530468,953.3793103,173.8436889,4.931034483,0.619081585,27,0,27,27,0,0,0,0,29,0,27,0,26,27,27,0,0,0,0,0
10.0.2.107,85.238.8.177,25,tcp,393.682216,26,53.53846154,10.50433412,4.615384615,0.905546045,5.242416692,0.793766099,4161.321547,4460.88447,945.2307692,185.45583,4.846153846,0.728611045,24,0,24,24,0,0,0,0,26,0,24,0,24,24,24,0,0,0,0,0
10.0.2.107,182.18.166.117,25,tcp,393.682348,22,52.72727273,11.55156077,4.545454545,0.995824205,5.342325682,0.916795501,4948.299348,7039.026766,930.9090909,203.9447971,4.909090909,0.811591128,20,0,20,20,0,0,0,0,22,0,20,0,20,20,20,0,0,0,0,0
10.0.2.107,117.104.150.233,25,tcp,393.682483,39,52.05128205,12.90996543,4.487179487,1.112928054,5.377134949,1.147979337,2776.17681,4748.597495,918.974359,227.9276655,4.743589744,0.848397408,35,0,35,35,0,0,0,0,39,0,35,0,35,35,35,0,0,0,0,0
10.0.2.107,205.186.179.176,25,tcp,393.682701,35,54.68571429,8.772189846,4.714285714,0.756223263,5.470131257,0.717248676,3005.109203,3025.644839,965.4857143,154.8745242,4.971428571,0.570125778,33,0,33,33,0,0,0,0,35,0,33,0,33,33,33,0,0,0,0,0
10.0.2.107,66.49.139.143,80,tcp,386.760364,3,11985,0,15,0,7.858334,0.63939,43214.20563,1.740643,784.3333333,25.11111111,10.33333333,0.277777778,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,188.121.45.218,80,tcp,386.55354,7,24299.57143,15967.80544,27.71428571,15.23061224,8.484164857,0.171936497,14405.69392,20372.37558,686.5714286,339.4993197,14.14285714,4.572789116,7,0,7,0,0,0,0,7,7,0,7,0,7,7,7,0,0,0,0,0
10.0.2.107,50.62.115.1,80,tcp,384.177444,6,10088.5,7292.95,14,7.444444444,9.567074333,0.782699925,17286.19108,21169.02297,500.3333333,222.7444444,10,2.7,6,0,6,0,0,0,0,6,6,0,6,0,6,6,6,0,0,0,0,0
10.0.2.107,49.212.129.148,80,tcp,385.209448,3,804,0,4,0,8.014134333,0.809805611,43216.00727,0.5211615,797.6666667,15.55555556,6,0,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,213.186.33.19,80,tcp,383.450533,4,37071.25,7208.0625,35.25,7.4375,42.4078515,18.92803371,28810.22888,20371.82379,1262,261.0833333,15.25,3.3125,4,0,4,0,0,0,0,2,4,0,4,0,4,4,4,0,0,0,0,0
10.0.2.107,54.249.238.243,80,tcp,386.444176,3,27151.33333,16.11111111,25.33333333,0.611111111,10.604322,0.813438333,43213.6342,1.0902215,835,19.66666667,14,1.166666667,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,109.234.111.40,80,tcp,382.167425,3,712,0,4,0,14.71001,0.735475667,43215.77314,1.0469085,768,4,6,0,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,147.32.83.216,80,tcp,395.053845,6,0,0,0,0,1.497059167,1.115352889,17286.28773,21160.2748,0,0,1.5,0.372222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,69.65.11.200,80,tcp,395.071133,4,495.75,179.0208333,3,1.083333333,10.36109075,2.347869813,28807.82429,20365.16235,574,202.3333333,4.75,1.104166667,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,207.45.187.18,80,tcp,395.732517,15,7466,0,9.2,0.319201354,0.564578467,0.256160965,7618.468347,5858.387624,392,59.1882486,7,0,15,0,15,15,0,0,0,0,15,0,15,0,15,15,15,0,0,0,0,0
10.0.2.107,198.20.243.195,80,tcp,395.395573,23,10545,0,12.13043478,0.208581258,0.577455957,0.122842478,4512.250338,5693.602014,385.1304348,45.48786314,8,0,23,0,23,23,0,0,0,0,23,0,23,0,23,23,23,0,0,0,0,0
10.0.2.107,217.69.139.150,25,tcp,396.325779,1,58,0,4,0,0.204601,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
10.0.2.107,208.131.141.238,80,tcp,396.734379,140,0,0,0.278571429,0.507785801,13.38665925,20.19519656,738.4197513,3186.374235,28.31428571,50.32175246,1.742857143,0.687651828,12,0,12,12,0,0,0,14,132,0,12,0,0,0,14,0,0,1,0,0
10.0.2.107,81.25.168.55,80,tcp,396.977544,23,1666,0,6,0,0.175710609,0.008987136,4694.085317,3588.971599,365.8695652,60.69314651,5,0,23,0,23,23,0,0,0,0,23,0,23,0,23,23,23,0,0,0,0,0
10.0.2.107,125.214.74.60,80,tcp,396.385288,13,271,0,5,0,1.433265846,0.507920163,8637.171167,8474.099019,338.9230769,45.61797177,5,0,13,0,13,13,0,0,0,0,13,0,13,0,13,13,13,0,0,0,0,0
10.0.2.107,94.100.180.150,25,tcp,396.325941,1,58,0,4,0,1.20409,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
10.0.2.107,88.151.100.217,80,tcp,397.320223,28,339,0,5.035714286,0.074439782,0.065891321,0.051334823,3948.46603,4780.631011,392.8928571,59.91738602,5,0,28,0,28,28,0,0,0,0,28,0,28,0,28,28,28,0,0,0,0,0
10.0.2.107,162.144.39.61,80,tcp,396.645755,25,4408.08,0.225276654,9.12,0.154030925,0.70303308,0.075909549,4308.451035,4119.601378,339.84,56.51338637,7,0,25,0,25,25,0,0,0,0,25,0,25,0,25,25,25,0,0,0,0,0
10.0.2.107,103.15.178.29,80,tcp,397.046962,19,10947.21053,2815.764633,11.78947368,2.502480401,18.09620542,15.49454747,5787.590967,7292.7697,400.5789474,52.66325816,8.157894737,1.098071428,19,0,19,16,0,0,0,3,19,0,19,0,19,19,19,0,0,0,0,0
10.0.2.107,74.125.193.26,25,tcp,396.530239,2,58,0,4,0,2.819347,0.6877815,0.796696,0,0,0,4.5,0.25,2,0,0,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
10.0.2.107,162.159.240.12,80,tcp,382.50939,2,0,0,4,0,15.765624,0.0037755,1.287714,0,810,2,5,0,2,0,2,2,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0
10.0.2.107,209.62.54.34,80,tcp,397.397314,15,19792.26667,10.18807248,23.13333333,0.754369149,1.042919733,0.560783592,7114.329752,8832.151232,412.9333333,48.0791107,11.2,0.342708958,15,0,15,15,0,0,0,0,15,0,15,0,15,15,15,0,0,0,0,0
10.0.2.107,120.29.165.111,80,tcp,397.387136,20,12507,0,15.05,0.199173946,1.3498293,0.334408148,5106.631841,4975.183471,368.8,55.99295349,8.3,0.435416219,20,0,20,20,0,0,0,0,20,0,20,0,20,20,20,0,0,0,0,0
10.0.2.107,173.236.178.80,80,tcp,397.968599,21,532,0,5.19047619,0.258632,0.417956571,0.248632208,5328.757181,5296.082756,417.4285714,57.24290066,5.047619048,0.057244272,21,0,21,21,0,0,0,0,21,0,21,0,21,21,21,0,0,0,0,0
10.0.2.107,74.125.136.26,25,tcp,397.770163,5,34.8,20.10666667,2.4,1.386666667,3.1568094,1.785016263,10807.22298,18708.63465,0,0,2.8,0.39,3,0,0,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,206.217.198.123,80,tcp,398.214814,21,294,0,5,0,0.637374381,0.219389432,5075.919299,8530.231208,411.3809524,54.09203725,5,0,21,0,21,21,0,0,0,0,21,0,21,0,21,21,21,0,0,0,0,0
10.0.2.107,110.45.146.64,80,tcp,397.418446,19,11192.57895,4342.692883,15.73684211,4.859909684,2.162583947,1.364717959,5780.289735,5397.902006,367.4736842,54.40035069,9.052631579,1.841875671,19,0,19,19,0,0,0,0,19,0,19,0,19,19,19,0,0,0,0,0
10.0.2.107,192.254.162.178,80,tcp,397.862628,16,28672,0,26.25,0.413065754,0.899694688,0.391496391,6663.951111,6363.014326,418.125,57.46183053,11.1875,0.542422248,16,0,16,16,0,0,0,0,16,0,16,0,16,16,16,0,0,0,0,0
10.0.2.107,74.119.145.101,80,tcp,395.411535,35,10955.6,3801.315847,13.68571429,4.035040753,0.662479629,0.372619775,3102.002159,4226.65354,384.5142857,44.60991827,7.914285714,1.018515858,35,0,35,35,0,0,0,0,35,0,35,0,35,35,35,0,0,0,0,0
10.0.2.107,77.235.50.231,80,tcp,399.030267,29,513,0,5,0,0.235272069,0.297407717,3615.645069,4500.101093,400.9655172,50.0009013,5,0,29,0,29,29,0,0,0,0,29,0,29,0,29,29,29,0,0,0,0,0
10.0.2.107,63.79.14.160,80,tcp,398.990169,19,5230,0,9.684210526,0.479170806,0.333715737,0.032553949,5863.030024,6767.817477,380.6842105,52.42023372,6.736842105,0.314618009,19,0,19,19,0,0,0,0,19,0,19,0,19,19,19,0,0,0,0,0
10.0.2.107,211.13.204.89,80,tcp,386.554355,5,0,0,4,0,15.1833994,1.434649037,21609.95833,21603.18489,787.6,21.68666667,5,0,5,0,5,5,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0
10.0.2.107,87.120.6.182,80,tcp,399.420342,24,472,0,5,0,0.292346708,0.193933745,4574.244237,6234.887145,395.625,62.19770796,5,0,24,0,24,24,0,0,0,0,24,0,24,0,24,24,24,0,0,0,0,0
10.0.2.107,66.135.51.112,80,tcp,399.419925,21,203,0,5,0,0.401846762,0.079342549,5281.083701,8305.081296,363.6666667,49.28203628,5,0,21,0,21,21,0,0,0,0,21,0,21,0,21,21,21,0,0,0,0,0
10.0.2.107,75.119.213.17,25,tcp,393.667356,35,58,0,5.028571429,0.080384231,5.8420112,0.390801028,3033.88196,3685.225831,1024,0,5.285714286,0.369598291,35,0,35,35,0,0,0,0,35,0,35,0,35,35,35,0,0,0,0,0
10.0.2.107,217.195.124.19,80,tcp,388.956698,3,10275,0,14.33333333,0.277777778,10.43545133,0.728697944,43213.36016,1.0791375,203,0,9.666666667,0.555555556,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,210.172.144.24,80,tcp,388.818624,3,10446,0,12.33333333,0.555555556,9.186966333,1.040679111,43213.60262,9.755156,787.6666667,5.555555556,9.333333333,0.611111111,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,205.251.133.202,80,tcp,388.700186,3,18867,0,17.33333333,0.277777778,12.77005833,1.042516389,43217.67112,2.5906685,798.3333333,0.888888889,10.66666667,0.222222222,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,49.212.235.209,80,tcp,384.178111,4,7670.5,2360.541667,9.25,2.9375,9.41744025,2.799835646,28812.28105,20368.19273,593.5,188.7916667,7.5,1.75,3,0,3,0,0,0,0,3,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,213.175.197.154,80,tcp,400.7603,21,444,0,5,0,0.205077905,0.16940574,5216.767778,6442.788932,394.4761905,67.55907469,5,0,21,0,21,21,0,0,0,0,21,0,21,0,21,21,21,0,0,0,0,0
10.0.2.107,64.208.104.62,80,tcp,399.599648,16,10294,0,13.3125,1.33464617,0.462387,0.267008781,6606.334561,5933.870714,369.625,40.61549232,8,0.639880085,16,0,16,16,0,0,0,0,16,0,16,0,16,16,16,0,0,0,0,0
10.0.2.107,66.33.212.68,80,tcp,398.560975,19,534,0,4,0,86.35137974,40.37184786,5902.61728,6986.363019,361.7894737,61.76416288,6,0,19,0,19,0,0,0,0,19,19,0,19,0,19,19,19,0,0,0,0,0
10.0.2.107,204.15.125.101,80,tcp,395.409512,21,12939,0,13.23809524,0.409195211,76.5750311,44.64761636,5300.055312,8785.205206,453.5714286,59.88462975,9.571428571,0.43886583,21,0,21,0,0,0,0,21,21,0,21,0,21,21,21,0,0,0,0,0
10.0.2.107,85.13.137.119,80,tcp,395.395846,25,426,0,4,0,79.43060628,40.26125313,4270.063761,5715.477329,384.8,57.06807979,6,0,25,0,25,0,0,0,0,25,25,0,25,0,25,25,25,0,0,0,0,0
10.0.2.107,192.254.145.240,80,tcp,395.39507,14,875,0,4,0,66.24744379,35.69084204,7588.668857,6694.372762,402.2857143,45.40370542,6,0,14,0,14,0,0,0,0,14,14,0,14,0,14,14,14,0,0,0,0,0
10.0.2.107,91.142.211.43,80,tcp,400.863431,24,508,0,5,0,0.167886458,0.09867649,4582.094709,6088.005379,384.4583333,58.55293041,5,0,24,0,24,24,0,0,0,0,24,0,24,0,24,24,24,0,0,0,0,0
10.0.2.107,213.207.134.115,25,tcp,393.667641,34,58.85294118,0.903014564,5.029411765,0.031138433,5.664585441,0.274611386,3176.484226,3477.034644,1024,0,5.205882353,0.284459104,34,0,34,34,0,0,0,0,34,0,34,0,34,34,34,0,0,0,0,0
10.0.2.107,66.111.4.72,25,tcp,398.770911,2,58,0,4,0,5.159065,1.3779405,43227.89228,0,0,0,4,0,2,0,0,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
10.0.2.107,159.253.136.162,25,tcp,393.667505,27,54.77777778,5.853724283,4.666666667,0.453270213,5.677848,0.993281196,3934.160906,5434.483498,948.1481481,85.8172252,5.037037037,0.685170868,25,0,25,25,0,0,0,0,27,0,25,0,25,25,25,0,0,0,0,0
10.0.2.107,50.28.73.8,80,tcp,399.602382,15,485,0,5,0,0.707432533,0.450796951,7378.621149,7957.54368,385.6666667,50.25800977,5,0,15,0,15,15,0,0,0,0,15,0,15,0,15,15,15,0,0,0,0,0
10.0.2.107,198.64.249.178,25,tcp,394.694155,26,55.76923077,3.025020482,4.846153846,0.283282736,5.861357462,0.624891314,4259.4194,6694.035205,984.6153846,53.40725816,4.961538462,0.220205763,25,0,25,25,0,0,0,1,25,0,25,0,25,25,25,0,0,1,0,0
10.0.2.107,195.62.199.71,80,tcp,397.418872,19,3449.052632,5024.871076,6.421052632,3.577990941,19.89992111,32.19968358,5618.194389,6510.126154,352.4210526,98.83363123,5.578947368,1.63227534,17,0,17,17,0,0,0,3,18,0,17,0,15,14,17,0,0,1,0,0
10.0.2.107,64.90.38.161,80,tcp,399.382891,13,547,85.02521645,4.153846154,0.335405193,77.06627762,41.20169996,8838.877527,9467.922632,405.5384615,85.87838316,6.153846154,0.335405193,13,0,13,0,0,0,0,13,13,0,13,0,13,13,13,0,0,0,0,0
10.0.2.107,217.21.185.82,80,tcp,396.884379,20,680.9,28.06949584,4,0,71.98869275,41.8685225,5467.443417,6179.998147,445,57.64206233,6,0,20,0,20,0,0,0,0,20,20,0,20,0,20,20,20,0,0,0,0,0
10.0.2.107,208.86.249.249,80,tcp,397.868698,14,582,0,5,0,1.768685357,2.897685342,7265.836774,6696.251096,407.2857143,52.5154643,5,0,14,0,14,14,0,0,0,0,14,0,14,0,14,14,14,0,0,0,0,0
10.0.2.107,178.79.152.154,25,tcp,402.254534,1,58,0,3,0,0.001021,0,0,0,32,0,4,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
10.0.2.107,178.79.152.154,443,tcp,402.255974,9600,0,0,0,0,1.500119126,1.499304062,11.12595369,12.42853394,0,0,1.5,0.499728128,0,0,0,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,89.161.155.19,80,tcp,401.456558,18,361,0,5,0,0.192777722,0.211537903,5978.654754,8354.988835,392.8333333,50.51124373,5,0,18,0,18,18,0,0,0,0,18,0,18,0,18,18,18,0,0,0,0,0
10.0.2.107,94.75.227.233,80,tcp,402.887229,6,0,0,0,0,1.5000085,1.117417967,12.2030592,3.924477658,0,0,1.5,0.372222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,70.87.122.148,25,tcp,393.669459,44,58,0,5.022727273,0.027213024,5.782446182,0.454652893,2404.327441,3297.303011,1024,0,5.227272727,0.297176026,44,0,44,44,0,0,0,1,44,0,44,0,44,44,44,0,0,1,0,0
10.0.2.107,209.62.124.230,80,tcp,402.699063,16,28256.6875,23.51298623,25.6875,0.361002799,0.904630875,0.11266901,6889.117562,7959.137348,423.125,56.81822847,12.9375,0.559289755,16,0,16,16,0,0,0,0,16,0,16,0,16,16,16,0,0,0,0,0
10.0.2.107,46.105.36.204,80,tcp,402.665828,19,21849.63158,10.5991624,23.68421053,0.732115994,0.371521684,0.585179972,5871.447495,5778.768331,415.8947368,51.04486414,11.47368421,0.601065333,19,0,19,19,0,0,0,0,19,0,19,0,19,19,19,0,0,0,0,0
10.0.2.107,216.70.84.111,80,tcp,403.066667,24,219,0,5,0,0.279500125,0.126313997,4295.860416,4662.009657,378,63.58977479,5,0,24,0,24,24,0,0,0,0,24,0,24,0,24,24,24,0,0,0,0,0
10.0.2.107,168.150.236.43,80,tcp,404.017304,18,555,0,5,0,0.371096556,0.015403094,6069.71399,10238.58315,401.2222222,41.51042608,5,0,18,0,18,18,0,0,0,0,18,0,18,0,18,18,18,0,0,0,0,0
10.0.2.107,65.17.196.120,80,tcp,399.681832,20,24149,135.8450198,28.75,0.732170565,0.8835458,0.638064725,5577.452389,6686.244616,390.45,60.27249031,12.7,0.463339,20,0,20,20,0,0,0,0,20,0,20,0,20,20,20,0,0,0,0,0
